date,rainfall_mm
2024-06-01,18.1
2024-06-02,5.6
2024-06-03,5.5
2024-06-04,4.5
2024-06-05,0.8
2024-06-06,3.4
2024-06-07,9.8
2024-06-08,7.5
2024-06-09,7.6
2024-06-10,20.1
2024-06-11,0.6
2024-06-12,2.0
2024-06-13,3.8
2024-06-14,7.9
2024-06-15,3.5
2024-06-16,7.7
2024-06-17,3.4
2024-06-18,6.5
2024-06-19,17.6
2024-06-20,2.0
2024-06-21,1.5
2024-06-22,0.6
2024-06-23,2.3
2024-06-24,1.3
2024-06-25,2.8
2024-06-26,12.4
2024-06-27,4.0
2024-06-28,17.7
2024-06-29,12.0
2024-06-30,26.9
