date,rainfall_mm
2024-06-01,4.4
2024-06-02,0.4
2024-06-03,8.5
2024-06-04,3.3
2024-06-05,0.0
2024-06-06,0.9
2024-06-07,2.0
2024-06-08,11.7
2024-06-09,0.5
2024-06-10,1.6
2024-06-11,3.5
2024-06-12,11.4
2024-06-13,3.2
2024-06-14,3.3
2024-06-15,4.4
2024-06-16,3.9
2024-06-17,1.9
2024-06-18,2.2
2024-06-19,4.2
2024-06-20,2.4
2024-06-21,1.2
2024-06-22,0.5
2024-06-23,7.3
2024-06-24,7.5
2024-06-25,8.7
2024-06-26,6.3
2024-06-27,16.0
2024-06-28,9.9
2024-06-29,4.0
2024-06-30,11.9
