date,rainfall_mm
2024-06-01,1.6
2024-06-02,10.3
2024-06-03,11.6
2024-06-04,9.5
2024-06-05,3.6
2024-06-06,2.1
2024-06-07,2.9
2024-06-08,7.6
2024-06-09,8.6
2024-06-10,4.9
2024-06-11,3.1
2024-06-12,5.9
2024-06-13,191.2
2024-06-14,15.1
2024-06-15,37.3
2024-06-16,26.8
2024-06-17,59.0
2024-06-18,97.6
2024-06-19,79.6
2024-06-20,14.1
2024-06-21,3.6
2024-06-22,7.5
2024-06-23,3.2
2024-06-24,5.0
2024-06-25,6.2
2024-06-26,13.7
2024-06-27,13.7
2024-06-28,94.4
2024-06-29,138.8
2024-06-30,135.5
