date,rainfall_mm
2024-06-01,15.3
2024-06-02,8.3
2024-06-03,21.1
2024-06-04,37.6
2024-06-05,0.1
2024-06-06,0.4
2024-06-07,20.0
2024-06-08,41.6
2024-06-09,62.5
2024-06-10,16.3
2024-06-11,21.3
2024-06-12,11.9
2024-06-13,38.4
2024-06-14,16.7
2024-06-15,29.0
2024-06-16,22.7
2024-06-17,27.8
2024-06-18,23.3
2024-06-19,23.1
2024-06-20,11.3
2024-06-21,6.7
2024-06-22,1.1
2024-06-23,35.4
2024-06-24,41.7
2024-06-25,35.3
2024-06-26,2.8
2024-06-27,20.3
2024-06-28,37.5
2024-06-29,59.0
2024-06-30,47.9
