date,rainfall_mm
2024-06-01,5.3
2024-06-02,0.5
2024-06-03,0.5
2024-06-04,4.5
2024-06-05,0.0
2024-06-06,0.0
2024-06-07,4.5
2024-06-08,0.3
2024-06-09,0.1
2024-06-10,0.1
2024-06-11,0.9
2024-06-12,16.6
2024-06-13,11.1
2024-06-14,0.1
2024-06-15,1.4
2024-06-16,2.8
2024-06-17,16.7
2024-06-18,9.7
2024-06-19,12.3
2024-06-20,5.1
2024-06-21,11.0
2024-06-22,2.1
2024-06-23,21.2
2024-06-24,5.9
2024-06-25,5.8
2024-06-26,2.0
2024-06-27,53.1
2024-06-28,31.7
2024-06-29,16.3
2024-06-30,23.8
