date,rainfall_mm
2024-06-01,36.5
2024-06-02,29.6
2024-06-03,53.1
2024-06-04,34.8
2024-06-05,9.3
2024-06-06,1.1
2024-06-07,3.1
2024-06-08,27.7
2024-06-09,37.1
2024-06-10,7.9
2024-06-11,16.3
2024-06-12,22.4
2024-06-13,27.5
2024-06-14,32.5
2024-06-15,18.5
2024-06-16,1.8
2024-06-17,49.6
2024-06-18,23.8
2024-06-19,18.0
2024-06-20,14.7
2024-06-21,1.9
2024-06-22,2.1
2024-06-23,20.4
2024-06-24,18.2
2024-06-25,24.9
2024-06-26,15.8
2024-06-27,10.5
2024-06-28,27.4
2024-06-29,37.8
2024-06-30,72.9
