date,rainfall_mm
2024-06-01,6.2
2024-06-02,2.7
2024-06-03,3.3
2024-06-04,9.4
2024-06-05,34.4
2024-06-06,1.6
2024-06-07,24.9
2024-06-08,9.4
2024-06-09,5.5
2024-06-10,35.0
2024-06-11,28.4
2024-06-12,37.1
2024-06-13,50.2
2024-06-14,9.2
2024-06-15,27.3
2024-06-16,37.0
2024-06-17,16.2
2024-06-18,28.7
2024-06-19,55.0
2024-06-20,22.1
2024-06-21,18.7
2024-06-22,30.2
2024-06-23,28.8
2024-06-24,48.2
2024-06-25,13.4
2024-06-26,29.4
2024-06-27,25.1
2024-06-28,69.8
2024-06-29,29.7
2024-06-30,59.9
