date,rainfall_mm
2024-06-01,4.0
2024-06-02,1.1
2024-06-03,4.6
2024-06-04,3.4
2024-06-05,4.8
2024-06-06,3.4
2024-06-07,3.2
2024-06-08,0.3
2024-06-09,2.7
2024-06-10,6.6
2024-06-11,12.9
2024-06-12,40.2
2024-06-13,16.5
2024-06-14,19.2
2024-06-15,13.8
2024-06-16,22.5
2024-06-17,1.8
2024-06-18,3.5
2024-06-19,21.3
2024-06-20,12.2
2024-06-21,3.0
2024-06-22,12.2
2024-06-23,6.5
2024-06-24,4.7
2024-06-25,15.4
2024-06-26,51.0
2024-06-27,10.3
2024-06-28,5.2
2024-06-29,24.8
2024-06-30,16.2
