date,rainfall_mm
2024-06-01,0.4
2024-06-02,3.0
2024-06-03,4.2
2024-06-04,1.7
2024-06-05,3.0
2024-06-06,3.0
2024-06-07,1.9
2024-06-08,1.5
2024-06-09,0.6
2024-06-10,2.8
2024-06-11,8.3
2024-06-12,8.2
2024-06-13,61.1
2024-06-14,0.8
2024-06-15,4.9
2024-06-16,6.5
2024-06-17,53.5
2024-06-18,39.0
2024-06-19,13.1
2024-06-20,4.3
2024-06-21,3.2
2024-06-22,3.1
2024-06-23,2.9
2024-06-24,1.6
2024-06-25,6.0
2024-06-26,11.0
2024-06-27,2.6
2024-06-28,90.6
2024-06-29,16.0
2024-06-30,22.8
