date,rainfall_mm
2024-06-01,12.8
2024-06-02,5.6
2024-06-03,25.0
2024-06-04,25.9
2024-06-05,1.3
2024-06-06,0.2
2024-06-07,18.1
2024-06-08,25.3
2024-06-09,23.5
2024-06-10,5.0
2024-06-11,10.8
2024-06-12,72.9
2024-06-13,21.5
2024-06-14,10.9
2024-06-15,39.7
2024-06-16,37.0
2024-06-17,37.5
2024-06-18,56.3
2024-06-19,38.1
2024-06-20,4.2
2024-06-21,4.3
2024-06-22,23.1
2024-06-23,3.7
2024-06-24,18.1
2024-06-25,11.5
2024-06-26,18.9
2024-06-27,76.1
2024-06-28,47.8
2024-06-29,8.3
2024-06-30,34.1
