date,rainfall_mm
2024-06-01,3.2
2024-06-02,1.0
2024-06-03,1.6
2024-06-04,3.8
2024-06-05,3.1
2024-06-06,0.0
2024-06-07,3.0
2024-06-08,0.8
2024-06-09,0.2
2024-06-10,0.9
2024-06-11,2.3
2024-06-12,31.8
2024-06-13,6.7
2024-06-14,2.9
2024-06-15,1.9
2024-06-16,0.9
2024-06-17,4.1
2024-06-18,1.6
2024-06-19,3.3
2024-06-20,4.1
2024-06-21,11.6
2024-06-22,10.5
2024-06-23,21.0
2024-06-24,2.6
2024-06-25,4.4
2024-06-26,3.3
2024-06-27,35.7
2024-06-28,22.4
2024-06-29,32.7
2024-06-30,17.7
