date,rainfall_mm
2024-06-01,10.9
2024-06-02,4.9
2024-06-03,2.8
2024-06-04,8.1
2024-06-05,4.3
2024-06-06,1.0
2024-06-07,2.7
2024-06-08,8.3
2024-06-09,0.4
2024-06-10,5.0
2024-06-11,7.2
2024-06-12,13.6
2024-06-13,1.9
2024-06-14,13.7
2024-06-15,15.4
2024-06-16,3.9
2024-06-17,22.1
2024-06-18,42.1
2024-06-19,47.3
2024-06-20,19.5
2024-06-21,27.6
2024-06-22,19.1
2024-06-23,8.3
2024-06-24,31.3
2024-06-25,10.8
2024-06-26,50.0
2024-06-27,12.8
2024-06-28,39.6
2024-06-29,24.6
2024-06-30,19.7
