date,rainfall_mm
2024-06-01,26.4
2024-06-02,20.6
2024-06-03,7.2
2024-06-04,15.9
2024-06-05,19.5
2024-06-06,6.8
2024-06-07,37.3
2024-06-08,6.4
2024-06-09,7.7
2024-06-10,14.0
2024-06-11,19.9
2024-06-12,23.8
2024-06-13,10.6
2024-06-14,17.0
2024-06-15,7.3
2024-06-16,34.8
2024-06-17,10.6
2024-06-18,10.8
2024-06-19,46.7
2024-06-20,38.9
2024-06-21,16.4
2024-06-22,14.3
2024-06-23,5.2
2024-06-24,12.3
2024-06-25,20.8
2024-06-26,26.7
2024-06-27,17.3
2024-06-28,38.9
2024-06-29,20.0
2024-06-30,14.1
