date,rainfall_mm
2024-06-01,3.9
2024-06-02,7.3
2024-06-03,21.2
2024-06-04,15.2
2024-06-05,7.1
2024-06-06,6.1
2024-06-07,1.1
2024-06-08,6.0
2024-06-09,6.6
2024-06-10,2.3
2024-06-11,8.4
2024-06-12,8.6
2024-06-13,19.9
2024-06-14,7.3
2024-06-15,86.1
2024-06-16,45.6
2024-06-17,58.6
2024-06-18,66.1
2024-06-19,39.0
2024-06-20,23.8
2024-06-21,0.7
2024-06-22,5.6
2024-06-23,13.8
2024-06-24,9.6
2024-06-25,8.9
2024-06-26,16.7
2024-06-27,15.6
2024-06-28,23.0
2024-06-29,46.1
2024-06-30,51.4
