date,rainfall_mm
2024-06-01,2.0
2024-06-02,1.7
2024-06-03,5.0
2024-06-04,6.1
2024-06-05,0.1
2024-06-06,5.9
2024-06-07,5.0
2024-06-08,5.6
2024-06-09,3.2
2024-06-10,4.9
2024-06-11,4.9
2024-06-12,20.5
2024-06-13,1.4
2024-06-14,8.2
2024-06-15,2.0
2024-06-16,5.4
2024-06-17,4.2
2024-06-18,5.6
2024-06-19,56.0
2024-06-20,0.8
2024-06-21,2.8
2024-06-22,2.8
2024-06-23,4.4
2024-06-24,10.5
2024-06-25,21.6
2024-06-26,25.7
2024-06-27,18.7
2024-06-28,7.9
2024-06-29,11.5
2024-06-30,22.4
