date,rainfall_mm
2024-06-01,1.4
2024-06-02,1.0
2024-06-03,6.7
2024-06-04,0.0
2024-06-05,2.7
2024-06-06,0.3
2024-06-07,1.7
2024-06-08,1.6
2024-06-09,0.7
2024-06-10,1.1
2024-06-11,0.9
2024-06-12,1.3
2024-06-13,2.0
2024-06-14,2.2
2024-06-15,1.9
2024-06-16,12.3
2024-06-17,2.4
2024-06-18,3.8
2024-06-19,20.6
2024-06-20,8.3
2024-06-21,1.4
2024-06-22,1.3
2024-06-23,3.4
2024-06-24,5.0
2024-06-25,14.2
2024-06-26,2.5
2024-06-27,1.5
2024-06-28,17.4
2024-06-29,11.9
2024-06-30,24.4
