date,rainfall_mm
2024-06-01,10.7
2024-06-02,16.4
2024-06-03,49.0
2024-06-04,20.0
2024-06-05,12.5
2024-06-06,17.1
2024-06-07,1.0
2024-06-08,12.0
2024-06-09,1.1
2024-06-10,2.9
2024-06-11,3.7
2024-06-12,1.6
2024-06-13,30.2
2024-06-14,2.2
2024-06-15,47.4
2024-06-16,17.3
2024-06-17,20.0
2024-06-18,36.4
2024-06-19,18.7
2024-06-20,15.8
2024-06-21,2.3
2024-06-22,5.2
2024-06-23,1.0
2024-06-24,2.2
2024-06-25,1.1
2024-06-26,5.7
2024-06-27,13.6
2024-06-28,1.7
2024-06-29,44.7
2024-06-30,30.5
