date,rainfall_mm
2024-06-01,5.3
2024-06-02,21.7
2024-06-03,4.6
2024-06-04,5.9
2024-06-05,0.2
2024-06-06,3.7
2024-06-07,5.2
2024-06-08,4.6
2024-06-09,7.5
2024-06-10,14.0
2024-06-11,0.1
2024-06-12,3.9
2024-06-13,13.0
2024-06-14,23.8
2024-06-15,0.8
2024-06-16,1.4
2024-06-17,2.6
2024-06-18,10.6
2024-06-19,6.1
2024-06-20,0.5
2024-06-21,1.8
2024-06-22,1.9
2024-06-23,8.2
2024-06-24,2.4
2024-06-25,9.9
2024-06-26,13.5
2024-06-27,14.1
2024-06-28,5.5
2024-06-29,8.4
2024-06-30,19.0
